,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
634,0.84,0.721,1,-5.627,1,0.0387,0.0581,3.42e-06,0.0703,0.971,116.011,audio_features,3FyfTh70PkgooRDe4SNP0U,spotify:track:3FyfTh70PkgooRDe4SNP0U,https://api.spotify.com/v1/tracks/3FyfTh70PkgooRDe4SNP0U,https://api.spotify.com/v1/audio-analysis/3FyfTh70PkgooRDe4SNP0U,161812,4
635,0.468,0.779,9,-4.839,1,0.0779,0.112,0.000373,0.101,0.26,173.799,audio_features,1yvMUkIOTeUNtNWlWRgANS,spotify:track:1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/tracks/1yvMUkIOTeUNtNWlWRgANS,https://api.spotify.com/v1/audio-analysis/1yvMUkIOTeUNtNWlWRgANS,217747,4
636,0.636,0.888,8,-3.889,1,0.0945,0.00162,0.000216,0.147,0.25,122.032,audio_features,4FWbsd91QSvgr1dSWwW51e,spotify:track:4FWbsd91QSvgr1dSWwW51e,https://api.spotify.com/v1/tracks/4FWbsd91QSvgr1dSWwW51e,https://api.spotify.com/v1/audio-analysis/4FWbsd91QSvgr1dSWwW51e,237200,4
637,0.584,0.684,10,-4.314,0,0.567,0.312,9.05e-05,0.112,0.72,210.164,audio_features,3NRql0A1Ef4RCvT473iqgD,spotify:track:3NRql0A1Ef4RCvT473iqgD,https://api.spotify.com/v1/tracks/3NRql0A1Ef4RCvT473iqgD,https://api.spotify.com/v1/audio-analysis/3NRql0A1Ef4RCvT473iqgD,213573,4
638,0.61,0.749,5,-6.692,1,0.0309,0.0734,0.0,0.334,0.593,80.015,audio_features,1S6VlDQoVgjfSeTsNfRvSd,spotify:track:1S6VlDQoVgjfSeTsNfRvSd,https://api.spotify.com/v1/tracks/1S6VlDQoVgjfSeTsNfRvSd,https://api.spotify.com/v1/audio-analysis/1S6VlDQoVgjfSeTsNfRvSd,201106,4
639,0.796,0.317,0,-9.937,1,0.0673,0.758,0.0,0.34,0.367,91.992,audio_features,3b3mKCoZCKZjzO2n6M5fmy,spotify:track:3b3mKCoZCKZjzO2n6M5fmy,https://api.spotify.com/v1/tracks/3b3mKCoZCKZjzO2n6M5fmy,https://api.spotify.com/v1/audio-analysis/3b3mKCoZCKZjzO2n6M5fmy,192273,4
640,0.521,0.186,2,-8.433,1,0.046,0.962,0.0,0.119,0.539,74.227,audio_features,7EjL6DoRMa601VXjoyyBSE,spotify:track:7EjL6DoRMa601VXjoyyBSE,https://api.spotify.com/v1/tracks/7EjL6DoRMa601VXjoyyBSE,https://api.spotify.com/v1/audio-analysis/7EjL6DoRMa601VXjoyyBSE,171022,3
641,0.583,0.752,2,-5.252,0,0.0489,0.0136,0.0,0.219,0.615,85.025,audio_features,0xpfVZCEELk5fD8OUmCnJ6,spotify:track:0xpfVZCEELk5fD8OUmCnJ6,https://api.spotify.com/v1/tracks/0xpfVZCEELk5fD8OUmCnJ6,https://api.spotify.com/v1/audio-analysis/0xpfVZCEELk5fD8OUmCnJ6,187688,4
642,0.688,0.718,1,-5.99,1,0.0378,0.273,3.36e-06,0.12,0.427,129.862,audio_features,3yfki4r5cgFA784trLoHnk,spotify:track:3yfki4r5cgFA784trLoHnk,https://api.spotify.com/v1/tracks/3yfki4r5cgFA784trLoHnk,https://api.spotify.com/v1/audio-analysis/3yfki4r5cgFA784trLoHnk,173369,4
643,0.493,0.855,11,-4.029,1,0.0967,0.00673,0.0,0.38,0.754,179.039,audio_features,52Rfxu5AUNMV1qhhC2ZCkb,spotify:track:52Rfxu5AUNMV1qhhC2ZCkb,https://api.spotify.com/v1/tracks/52Rfxu5AUNMV1qhhC2ZCkb,https://api.spotify.com/v1/audio-analysis/52Rfxu5AUNMV1qhhC2ZCkb,153038,4
644,0.593,0.352,4,-8.296,1,0.0284,0.695,2.22e-05,0.3,0.226,119.988,audio_features,50x1Ic8CaXkYNvjmxe3WXy,spotify:track:50x1Ic8CaXkYNvjmxe3WXy,https://api.spotify.com/v1/tracks/50x1Ic8CaXkYNvjmxe3WXy,https://api.spotify.com/v1/audio-analysis/50x1Ic8CaXkYNvjmxe3WXy,220750,3
645,0.496,0.593,4,-5.154,1,0.0285,0.0476,0.0,0.0909,0.177,91.038,audio_features,3AAY8YicetRPlDAkibHLiS,spotify:track:3AAY8YicetRPlDAkibHLiS,https://api.spotify.com/v1/tracks/3AAY8YicetRPlDAkibHLiS,https://api.spotify.com/v1/audio-analysis/3AAY8YicetRPlDAkibHLiS,185933,4
646,0.393,0.623,8,-5.57,1,0.0344,0.0026,0.0,0.0627,0.309,143.67,audio_features,6OJ4kuBYKCdlLwCAELUFVe,spotify:track:6OJ4kuBYKCdlLwCAELUFVe,https://api.spotify.com/v1/tracks/6OJ4kuBYKCdlLwCAELUFVe,https://api.spotify.com/v1/audio-analysis/6OJ4kuBYKCdlLwCAELUFVe,245679,4
647,0.637,0.513,1,-6.797,1,0.0367,0.518,0.0,0.124,0.234,141.907,audio_features,22UYp7aAy1XmIYZ1GsnJuB,spotify:track:22UYp7aAy1XmIYZ1GsnJuB,https://api.spotify.com/v1/tracks/22UYp7aAy1XmIYZ1GsnJuB,https://api.spotify.com/v1/audio-analysis/22UYp7aAy1XmIYZ1GsnJuB,202193,4
648,0.726,0.796,10,-4.295,1,0.0381,0.276,0.0,0.151,0.752,131.449,audio_features,2xRPwGneUj9S6UNC2TthyJ,spotify:track:2xRPwGneUj9S6UNC2TthyJ,https://api.spotify.com/v1/tracks/2xRPwGneUj9S6UNC2TthyJ,https://api.spotify.com/v1/audio-analysis/2xRPwGneUj9S6UNC2TthyJ,163026,4
649,0.518,0.655,6,-6.682,0,0.0514,0.248,0.0,0.101,0.47,174.223,audio_features,2h444Cn1pbZjKPD4jbjY3E,spotify:track:2h444Cn1pbZjKPD4jbjY3E,https://api.spotify.com/v1/tracks/2h444Cn1pbZjKPD4jbjY3E,https://api.spotify.com/v1/audio-analysis/2h444Cn1pbZjKPD4jbjY3E,179000,3
650,0.323,0.761,7,-6.143,1,0.0479,0.00942,0.000586,0.0827,0.466,141.282,audio_features,7bSlafYF33JHLoB9NtsL9V,spotify:track:7bSlafYF33JHLoB9NtsL9V,https://api.spotify.com/v1/tracks/7bSlafYF33JHLoB9NtsL9V,https://api.spotify.com/v1/audio-analysis/7bSlafYF33JHLoB9NtsL9V,332387,4
651,0.732,0.855,7,-4.064,1,0.0415,0.306,0.0,0.12,0.221,106.004,audio_features,3ZEno9fORwMA1HPecdLi0R,spotify:track:3ZEno9fORwMA1HPecdLi0R,https://api.spotify.com/v1/tracks/3ZEno9fORwMA1HPecdLi0R,https://api.spotify.com/v1/audio-analysis/3ZEno9fORwMA1HPecdLi0R,242691,4
652,0.565,0.636,0,-8.198,1,0.0638,0.107,9.9e-06,0.447,0.525,170.01,audio_features,76OGwb5RA9h4FxQPT33ekc,spotify:track:76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/tracks/76OGwb5RA9h4FxQPT33ekc,https://api.spotify.com/v1/audio-analysis/76OGwb5RA9h4FxQPT33ekc,179551,4
653,0.593,0.787,2,-6.429,1,0.0327,0.038,0.0,0.194,0.507,125.957,audio_features,0cgFnx6yIVv3RrqXlZTiGZ,spotify:track:0cgFnx6yIVv3RrqXlZTiGZ,https://api.spotify.com/v1/tracks/0cgFnx6yIVv3RrqXlZTiGZ,https://api.spotify.com/v1/audio-analysis/0cgFnx6yIVv3RrqXlZTiGZ,203538,4
654,0.745,0.681,7,-7.91,1,0.0361,0.0696,0.0,0.164,0.613,115.0,audio_features,3UZDl7g2r84o1b5marUjfK,spotify:track:3UZDl7g2r84o1b5marUjfK,https://api.spotify.com/v1/tracks/3UZDl7g2r84o1b5marUjfK,https://api.spotify.com/v1/audio-analysis/3UZDl7g2r84o1b5marUjfK,160300,4
655,0.769,0.858,8,-6.01,1,0.15,0.117,0.0186,0.157,0.86,160.049,audio_features,5C8ySsx3AT121g24uYR823,spotify:track:5C8ySsx3AT121g24uYR823,https://api.spotify.com/v1/tracks/5C8ySsx3AT121g24uYR823,https://api.spotify.com/v1/audio-analysis/5C8ySsx3AT121g24uYR823,173453,4
656,0.699,0.43,2,-11.683,1,0.0463,0.181,0.0,0.141,0.325,139.975,audio_features,2JxNmnMnMLO12m5l20x73G,spotify:track:2JxNmnMnMLO12m5l20x73G,https://api.spotify.com/v1/tracks/2JxNmnMnMLO12m5l20x73G,https://api.spotify.com/v1/audio-analysis/2JxNmnMnMLO12m5l20x73G,208786,4
657,0.519,0.617,7,-4.287,1,0.0313,0.0387,0.0,0.401,0.222,147.708,audio_features,0oWraSo5ASJ0h1BEagTyEw,spotify:track:0oWraSo5ASJ0h1BEagTyEw,https://api.spotify.com/v1/tracks/0oWraSo5ASJ0h1BEagTyEw,https://api.spotify.com/v1/audio-analysis/0oWraSo5ASJ0h1BEagTyEw,225300,3
658,0.427,0.278,10,-8.83,1,0.0331,0.47,2.22e-05,0.135,0.374,85.633,audio_features,40vKwNlXXKUmQMGceAoEpy,spotify:track:40vKwNlXXKUmQMGceAoEpy,https://api.spotify.com/v1/tracks/40vKwNlXXKUmQMGceAoEpy,https://api.spotify.com/v1/audio-analysis/40vKwNlXXKUmQMGceAoEpy,199875,3
659,0.667,0.581,0,-5.89,1,0.0375,0.227,0.0,0.112,0.407,122.016,audio_features,65gLItuJFVkdt3k4ibQMAz,spotify:track:65gLItuJFVkdt3k4ibQMAz,https://api.spotify.com/v1/tracks/65gLItuJFVkdt3k4ibQMAz,https://api.spotify.com/v1/audio-analysis/65gLItuJFVkdt3k4ibQMAz,170907,4
660,0.58,0.716,8,-3.694,1,0.061,0.325,0.0,0.232,0.616,144.107,audio_features,0tgjvCrVS32K4QzbTSxPVd,spotify:track:0tgjvCrVS32K4QzbTSxPVd,https://api.spotify.com/v1/tracks/0tgjvCrVS32K4QzbTSxPVd,https://api.spotify.com/v1/audio-analysis/0tgjvCrVS32K4QzbTSxPVd,198333,4
661,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,audio_features,0QULNNd9z5s35entfiiXoa,spotify:track:0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/tracks/0QULNNd9z5s35entfiiXoa,https://api.spotify.com/v1/audio-analysis/0QULNNd9z5s35entfiiXoa,245626,4
662,0.554,0.38,9,-10.666,1,0.0314,0.526,0.0,0.213,0.284,118.925,audio_features,6G1Mz5yMgn0ydOlIvTrZ65,spotify:track:6G1Mz5yMgn0ydOlIvTrZ65,https://api.spotify.com/v1/tracks/6G1Mz5yMgn0ydOlIvTrZ65,https://api.spotify.com/v1/audio-analysis/6G1Mz5yMgn0ydOlIvTrZ65,213754,4
663,0.596,0.651,9,-4.604,1,0.0331,0.0971,0.0,0.279,0.255,73.959,audio_features,0gWrMbx6pbdH3n3nsLjE55,spotify:track:0gWrMbx6pbdH3n3nsLjE55,https://api.spotify.com/v1/tracks/0gWrMbx6pbdH3n3nsLjE55,https://api.spotify.com/v1/audio-analysis/0gWrMbx6pbdH3n3nsLjE55,147819,4
